timestamp,host,rtt_ms,loss_total,sent_total,avg_rtt_ms,min_rtt_ms,max_rtt_ms
2026-04-09 07:02:53.023,10.45.0.26,16.1,3,646,54.46,7.09,231.0
2026-04-09 07:02:53.142,10.45.0.26,17.0,3,647,54.4,7.09,231.0
2026-04-09 07:02:53.263,10.45.0.26,76.3,3,648,54.44,7.09,231.0
2026-04-09 07:02:53.442,10.45.0.26,50.4,3,649,54.43,7.09,231.0
2026-04-09 07:02:53.596,10.45.0.26,138.0,3,650,54.56,7.09,231.0
2026-04-09 07:02:53.838,10.45.0.26,75.3,3,651,54.59,7.09,231.0
2026-04-09 07:02:54.017,10.45.0.26,62.3,3,652,54.61,7.09,231.0
2026-04-09 07:02:54.183,10.45.0.26,90.6,3,653,54.66,7.09,231.0
2026-04-09 07:02:54.377,10.45.0.26,75.6,3,654,54.69,7.09,231.0
2026-04-09 07:02:54.557,10.45.0.26,101.0,3,655,54.76,7.09,231.0
2026-04-09 07:02:54.761,10.45.0.26,57.1,3,656,54.77,7.09,231.0
2026-04-09 07:02:54.922,10.45.0.26,21.8,3,657,54.72,7.09,231.0
2026-04-09 07:02:55.047,10.45.0.26,123.0,3,658,54.82,7.09,231.0
2026-04-09 07:02:55.273,10.45.0.26,45.3,3,659,54.81,7.09,231.0
2026-04-09 07:02:55.422,10.45.0.26,46.5,3,660,54.79,7.09,231.0
2026-04-09 07:02:55.572,10.45.0.26,41.1,3,661,54.77,7.09,231.0
2026-04-09 07:02:55.717,10.45.0.26,21.4,3,662,54.72,7.09,231.0
2026-04-09 07:02:55.842,10.45.0.26,11.6,3,663,54.66,7.09,231.0
2026-04-09 07:02:55.957,10.45.0.26,31.9,3,664,54.62,7.09,231.0
2026-04-09 07:02:56.092,10.45.0.26,46.5,3,665,54.61,7.09,231.0
2026-04-09 07:02:56.242,10.45.0.26,37.0,3,666,54.58,7.09,231.0
2026-04-09 07:02:56.383,10.45.0.26,31.2,3,667,54.55,7.09,231.0
2026-04-09 07:02:56.517,10.45.0.26,67.5,3,668,54.57,7.09,231.0
2026-04-09 07:02:56.688,10.45.0.26,30.7,3,669,54.53,7.09,231.0
2026-04-09 07:02:56.822,10.45.0.26,11.2,3,670,54.47,7.09,231.0
2026-04-09 07:02:56.937,10.45.0.26,17.7,3,671,54.41,7.09,231.0
2026-04-09 07:02:57.057,10.45.0.26,62.3,3,672,54.42,7.09,231.0
2026-04-09 07:02:57.223,10.45.0.26,35.8,3,673,54.4,7.09,231.0
2026-04-09 07:02:57.362,10.45.0.26,35.7,3,674,54.37,7.09,231.0
2026-04-09 07:02:57.502,10.45.0.26,12.2,3,675,54.31,7.09,231.0
2026-04-09 07:02:57.617,10.45.0.26,55.3,3,676,54.31,7.09,231.0
2026-04-09 07:02:57.777,10.45.0.26,36.7,3,677,54.28,7.09,231.0
2026-04-09 07:02:57.917,10.45.0.26,16.0,3,678,54.22,7.09,231.0
2026-04-09 07:02:58.036,10.45.0.26,37.0,3,679,54.2,7.09,231.0
2026-04-09 07:02:58.177,10.45.0.26,117.0,3,680,54.29,7.09,231.0
2026-04-09 07:02:58.398,10.45.0.26,20.8,3,681,54.24,7.09,231.0
2026-04-09 07:02:58.522,10.45.0.26,35.9,3,682,54.22,7.09,231.0
2026-04-09 07:02:58.661,10.45.0.26,143.0,3,683,54.35,7.09,231.0
2026-04-09 07:02:58.906,10.45.0.26,21.9,3,684,54.3,7.09,231.0
2026-04-09 07:02:59.031,10.45.0.26,87.4,3,685,54.35,7.09,231.0
2026-04-09 07:02:59.222,10.45.0.26,37.8,3,686,54.32,7.09,231.0
2026-04-09 07:02:59.363,10.45.0.26,34.8,3,687,54.29,7.09,231.0
2026-04-09 07:02:59.502,10.45.0.26,36.7,3,688,54.27,7.09,231.0
2026-04-09 07:02:59.642,10.45.0.26,61.1,3,689,54.28,7.09,231.0
2026-04-09 07:02:59.807,10.45.0.26,147.0,3,690,54.41,7.09,231.0
2026-04-09 07:03:00.057,10.45.0.26,35.9,3,691,54.39,7.09,231.0
2026-04-09 07:03:00.197,10.45.0.26,21.5,3,692,54.34,7.09,231.0
2026-04-09 07:03:00.322,10.45.0.26,30.9,3,693,54.3,7.09,231.0
2026-04-09 07:03:00.457,10.45.0.26,21.9,3,694,54.26,7.09,231.0
2026-04-09 07:03:00.583,10.45.0.26,51.4,3,695,54.25,7.09,231.0
2026-04-09 07:03:00.737,10.45.0.26,167.0,3,696,54.42,7.09,231.0
2026-04-09 07:03:01.008,10.45.0.26,30.1,3,697,54.38,7.09,231.0
2026-04-09 07:03:01.142,10.45.0.26,56.8,3,698,54.38,7.09,231.0
2026-04-09 07:03:01.302,10.45.0.26,30.7,3,699,54.35,7.09,231.0
2026-04-09 07:03:01.437,10.45.0.26,21.5,3,700,54.3,7.09,231.0
2026-04-09 07:03:01.563,10.45.0.26,20.9,3,701,54.26,7.09,231.0
2026-04-09 07:03:01.688,10.45.0.26,36.3,3,702,54.23,7.09,231.0
2026-04-09 07:03:01.828,10.45.0.26,30.3,3,703,54.2,7.09,231.0
2026-04-09 07:03:01.962,10.45.0.26,37.0,3,704,54.17,7.09,231.0
2026-04-09 07:03:02.102,10.45.0.26,173.0,3,705,54.34,7.09,231.0
2026-04-09 07:03:02.378,10.45.0.26,15.1,3,706,54.28,7.09,231.0
2026-04-09 07:03:02.497,10.45.0.26,39.9,3,707,54.26,7.09,231.0
2026-04-09 07:03:02.641,10.45.0.26,33.6,3,708,54.24,7.09,231.0
2026-04-09 07:03:02.778,10.45.0.26,39.8,3,709,54.21,7.09,231.0
2026-04-09 07:03:02.921,10.45.0.26,123.0,3,710,54.31,7.09,231.0
2026-04-09 07:03:03.148,10.45.0.26,65.4,3,711,54.33,7.09,231.0
2026-04-09 07:03:03.317,10.45.0.26,81.6,3,712,54.37,7.09,231.0
2026-04-09 07:03:03.502,10.45.0.26,35.2,3,713,54.34,7.09,231.0
2026-04-09 07:03:03.641,10.45.0.26,43.1,3,714,54.32,7.09,231.0
2026-04-09 07:03:03.788,10.45.0.26,90.0,3,715,54.37,7.09,231.0
2026-04-09 07:03:03.982,10.45.0.26,34.7,3,716,54.35,7.09,231.0
2026-04-09 07:03:04.121,10.45.0.26,71.7,3,717,54.37,7.09,231.0
2026-04-09 07:03:04.296,10.45.0.26,41.0,3,718,54.35,7.09,231.0
2026-04-09 07:03:04.441,10.45.0.26,36.8,3,719,54.33,7.09,231.0
2026-04-09 07:03:04.581,10.45.0.26,61.9,3,720,54.34,7.09,231.0
2026-04-09 07:03:04.748,10.45.0.26,126.0,3,721,54.44,7.09,231.0
2026-04-09 07:03:04.978,10.45.0.26,136.0,3,722,54.55,7.09,231.0
2026-04-09 07:03:05.217,10.45.0.26,26.4,3,723,54.51,7.09,231.0
2026-04-09 07:03:05.347,10.45.0.26,30.2,3,724,54.48,7.09,231.0
2026-04-09 07:03:05.481,10.45.0.26,132.0,3,725,54.59,7.09,231.0
2026-04-09 07:03:05.717,10.45.0.26,61.7,3,726,54.6,7.09,231.0
2026-04-09 07:03:05.882,10.45.0.26,106.0,3,727,54.67,7.09,231.0
2026-04-09 07:03:06.092,10.45.0.26,108.0,3,728,54.74,7.09,231.0
2026-04-09 07:03:06.303,10.45.0.26,140.0,3,729,54.86,7.09,231.0
2026-04-09 07:03:06.547,10.45.0.26,25.7,3,730,54.82,7.09,231.0
2026-04-09 07:03:06.677,10.45.0.26,36.0,3,731,54.79,7.09,231.0
2026-04-09 07:03:06.817,10.45.0.26,21.1,3,732,54.74,7.09,231.0
2026-04-09 07:03:06.941,10.45.0.26,35.9,3,733,54.72,7.09,231.0
2026-04-09 07:03:07.082,10.45.0.26,96.9,3,734,54.78,7.09,231.0
2026-04-09 07:03:07.283,10.45.0.26,11.0,3,735,54.72,7.09,231.0
2026-04-09 07:03:07.397,10.45.0.26,41.4,3,736,54.7,7.09,231.0
2026-04-09 07:03:07.542,10.45.0.26,137.0,3,737,54.81,7.09,231.0
2026-04-09 07:03:07.782,10.45.0.26,56.6,3,738,54.81,7.09,231.0
2026-04-09 07:03:07.942,10.45.0.26,30.5,3,739,54.78,7.09,231.0
2026-04-09 07:03:08.076,10.45.0.26,23.1,3,740,54.74,7.09,231.0
2026-04-09 07:03:08.201,10.45.0.26,172.0,3,741,54.9,7.09,231.0
2026-04-09 07:03:08.476,10.45.0.26,117.0,3,742,54.98,7.09,231.0
2026-04-09 07:03:08.697,10.45.0.26,21.8,3,743,54.94,7.09,231.0
2026-04-09 07:03:08.823,10.45.0.26,35.1,3,744,54.91,7.09,231.0
2026-04-09 07:03:08.961,10.45.0.26,31.0,3,745,54.88,7.09,231.0
2026-04-09 07:03:09.096,10.45.0.26,23.0,3,746,54.83,7.09,231.0
2026-04-09 07:03:09.223,10.45.0.26,35.4,3,747,54.81,7.09,231.0
2026-04-09 07:03:09.362,10.45.0.26,36.9,3,748,54.78,7.09,231.0
2026-04-09 07:03:09.502,10.45.0.26,35.9,3,749,54.76,7.09,231.0
2026-04-09 07:03:09.641,10.45.0.26,36.9,3,750,54.73,7.09,231.0
2026-04-09 07:03:09.781,10.45.0.26,63.1,3,751,54.75,7.09,231.0
2026-04-09 07:03:09.947,10.45.0.26,27.9,3,752,54.71,7.09,231.0
2026-04-09 07:03:10.077,10.45.0.26,61.2,3,753,54.72,7.09,231.0
2026-04-09 07:03:10.241,10.45.0.26,62.8,3,754,54.73,7.09,231.0
2026-04-09 07:03:10.408,10.45.0.26,70.7,3,755,54.75,7.09,231.0
2026-04-09 07:03:10.582,10.45.0.26,16.1,3,756,54.7,7.09,231.0
2026-04-09 07:03:10.702,10.45.0.26,47.0,3,757,54.69,7.09,231.0
2026-04-09 07:03:10.852,10.45.0.26,27.2,3,758,54.65,7.09,231.0
2026-04-09 07:03:10.982,10.45.0.26,51.6,3,759,54.65,7.09,231.0
2026-04-09 07:03:11.137,10.45.0.26,21.5,3,760,54.6,7.09,231.0
2026-04-09 07:03:11.263,10.45.0.26,116.0,3,761,54.69,7.09,231.0
2026-04-09 07:03:11.482,10.45.0.26,51.3,3,762,54.68,7.09,231.0
2026-04-09 07:03:11.637,10.45.0.26,80.7,3,763,54.72,7.09,231.0
2026-04-09 07:03:11.822,10.45.0.26,32.1,3,764,54.69,7.09,231.0
2026-04-09 07:03:11.957,10.45.0.26,16.3,3,765,54.64,7.09,231.0
2026-04-09 07:03:12.077,10.45.0.26,36.2,3,766,54.61,7.09,231.0
2026-04-09 07:03:12.217,10.45.0.26,26.4,3,767,54.57,7.09,231.0
2026-04-09 07:03:12.347,10.45.0.26,41.7,3,768,54.56,7.09,231.0
2026-04-09 07:03:12.492,10.45.0.26,41.9,3,769,54.54,7.09,231.0
2026-04-09 07:03:12.638,10.45.0.26,35.6,3,770,54.52,7.09,231.0
2026-04-09 07:03:12.777,10.45.0.26,37.1,3,771,54.49,7.09,231.0
2026-04-09 07:03:12.918,10.45.0.26,60.8,3,772,54.5,7.09,231.0
2026-04-09 07:03:13.082,10.45.0.26,51.3,3,773,54.5,7.09,231.0
2026-04-09 07:03:13.237,10.45.0.26,22.1,3,774,54.46,7.09,231.0
2026-04-09 07:03:13.363,10.45.0.26,31.2,3,775,54.43,7.09,231.0
2026-04-09 07:03:13.497,10.45.0.26,122.0,3,776,54.51,7.09,231.0
2026-04-09 07:03:13.723,10.45.0.26,186.0,3,777,54.68,7.09,231.0
2026-04-09 07:03:14.012,10.45.0.26,42.1,3,778,54.67,7.09,231.0
2026-04-09 07:03:14.157,10.45.0.26,20.6,3,779,54.62,7.09,231.0
2026-04-09 07:03:14.282,10.45.0.26,72.4,3,780,54.65,7.09,231.0
2026-04-09 07:03:14.457,10.45.0.26,65.8,3,781,54.66,7.09,231.0
2026-04-09 07:03:14.627,10.45.0.26,26.5,3,782,54.62,7.09,231.0
2026-04-09 07:03:14.757,10.45.0.26,26.8,3,783,54.59,7.09,231.0
2026-04-09 07:03:14.888,10.45.0.26,90.4,3,784,54.63,7.09,231.0
2026-04-09 07:03:15.082,10.45.0.26,91.5,3,785,54.68,7.09,231.0
2026-04-09 07:03:15.277,10.45.0.26,36.1,3,786,54.66,7.09,231.0
2026-04-09 07:03:15.417,10.45.0.26,41.1,3,787,54.64,7.09,231.0
2026-04-09 07:03:15.562,10.45.0.26,91.7,3,788,54.69,7.09,231.0
2026-04-09 07:03:15.757,10.45.0.26,35.7,3,789,54.66,7.09,231.0
2026-04-09 07:03:15.896,10.45.0.26,35.9,3,790,54.64,7.09,231.0
2026-04-09 07:03:16.036,10.45.0.26,37.6,3,791,54.62,7.09,231.0
2026-04-09 07:03:16.177,10.45.0.26,86.6,3,792,54.66,7.09,231.0
2026-04-09 07:03:16.368,10.45.0.26,50.5,3,793,54.65,7.09,231.0
2026-04-09 07:03:16.522,10.45.0.26,37.2,3,794,54.63,7.09,231.0
2026-04-09 07:03:16.662,10.45.0.26,97.4,3,795,54.68,7.09,231.0
2026-04-09 07:03:16.863,10.45.0.26,81.4,3,796,54.72,7.09,231.0
2026-04-09 07:03:17.047,10.45.0.26,25.4,3,797,54.68,7.09,231.0
2026-04-09 07:03:17.176,10.45.0.26,24.0,3,798,54.64,7.09,231.0
2026-04-09 07:03:17.303,10.45.0.26,35.2,3,799,54.62,7.09,231.0
2026-04-09 07:03:17.442,10.45.0.26,37.0,3,800,54.6,7.09,231.0
2026-04-09 07:03:17.582,10.45.0.26,32.5,3,801,54.57,7.09,231.0
2026-04-09 07:03:17.717,10.45.0.26,20.6,3,802,54.53,7.09,231.0
2026-04-09 07:03:17.842,10.45.0.26,122.0,3,803,54.61,7.09,231.0
2026-04-09 07:03:18.068,10.45.0.26,25.9,3,804,54.57,7.09,231.0
2026-04-09 07:03:18.197,10.45.0.26,16.6,3,805,54.53,7.09,231.0
2026-04-09 07:03:18.318,10.45.0.26,37.7,3,806,54.51,7.09,231.0
2026-04-09 07:03:18.459,10.45.0.26,120.0,3,807,54.59,7.09,231.0
2026-04-09 07:03:18.683,10.45.0.26,30.5,3,808,54.56,7.09,231.0
2026-04-09 07:03:18.817,10.45.0.26,21.9,3,809,54.52,7.09,231.0
2026-04-09 07:03:18.942,10.45.0.26,52.4,3,810,54.51,7.09,231.0
2026-04-09 07:03:19.098,10.45.0.26,35.9,3,811,54.49,7.09,231.0
2026-04-09 07:03:19.237,10.45.0.26,41.7,3,812,54.48,7.09,231.0
2026-04-09 07:03:19.382,10.45.0.26,118.0,3,813,54.55,7.09,231.0
2026-04-09 07:03:19.603,10.45.0.26,135.0,3,814,54.65,7.09,231.0
2026-04-09 07:03:19.841,10.45.0.26,36.8,3,815,54.63,7.09,231.0
2026-04-09 07:03:19.981,10.45.0.26,31.5,3,816,54.6,7.09,231.0
2026-04-09 07:03:20.116,10.45.0.26,16.5,3,817,54.56,7.09,231.0
2026-04-09 07:03:20.238,10.45.0.26,107.0,3,818,54.62,7.09,231.0
2026-04-09 07:03:20.448,10.45.0.26,44.8,3,819,54.61,7.09,231.0
2026-04-09 07:03:20.597,10.45.0.26,61.8,3,820,54.62,7.09,231.0
2026-04-09 07:03:20.762,10.45.0.26,22.8,3,821,54.58,7.09,231.0
2026-04-09 07:03:20.888,10.45.0.26,15.1,3,822,54.53,7.09,231.0
2026-04-09 07:03:21.007,10.45.0.26,71.4,3,823,54.55,7.09,231.0
2026-04-09 07:03:21.182,10.45.0.26,197.0,3,824,54.72,7.09,231.0
2026-04-09 07:03:21.482,10.45.0.26,71.8,3,825,54.74,7.09,231.0
2026-04-09 07:03:21.658,10.45.0.26,76.2,3,826,54.77,7.09,231.0
2026-04-09 07:03:21.837,10.45.0.26,41.5,3,827,54.75,7.09,231.0
2026-04-09 07:03:21.982,10.45.0.26,161.0,3,828,54.88,7.09,231.0
2026-04-09 07:03:22.247,10.45.0.26,26.5,3,829,54.85,7.09,231.0
2026-04-09 07:03:22.377,10.45.0.26,40.1,3,830,54.83,7.09,231.0
2026-04-09 07:03:22.521,10.45.0.26,96.5,3,831,54.88,7.09,231.0
2026-04-09 07:03:22.720,10.45.0.26,72.3,3,832,54.9,7.09,231.0
2026-04-09 07:03:22.897,10.45.0.26,121.0,3,833,54.98,7.09,231.0
2026-04-09 07:03:23.121,10.45.0.26,62.8,3,834,54.99,7.09,231.0
2026-04-09 07:03:23.288,10.45.0.26,45.7,3,835,54.98,7.09,231.0
2026-04-09 07:03:23.437,10.45.0.26,41.6,3,836,54.96,7.09,231.0
2026-04-09 07:03:23.582,10.45.0.26,36.0,3,837,54.94,7.09,231.0
2026-04-09 07:03:23.721,10.45.0.26,36.6,3,838,54.92,7.09,231.0
2026-04-09 07:03:23.862,10.45.0.26,56.5,3,839,54.92,7.09,231.0
2026-04-09 07:03:24.022,10.45.0.26,37.4,3,840,54.9,7.09,231.0
2026-04-09 07:03:24.163,10.45.0.26,71.4,3,841,54.92,7.09,231.0
2026-04-09 07:03:24.338,10.45.0.26,20.5,3,842,54.88,7.09,231.0
2026-04-09 07:03:24.462,10.45.0.26,36.7,3,843,54.86,7.09,231.0
2026-04-09 07:03:24.602,10.45.0.26,31.1,3,844,54.83,7.09,231.0
2026-04-09 07:03:24.737,10.45.0.26,67.2,3,845,54.84,7.09,231.0
2026-04-09 07:03:24.908,10.45.0.26,65.6,3,846,54.86,7.09,231.0
2026-04-09 07:03:25.077,10.45.0.26,40.6,3,847,54.84,7.09,231.0
2026-04-09 07:03:25.221,10.45.0.26,36.6,3,848,54.82,7.09,231.0
2026-04-09 07:03:25.361,10.45.0.26,71.8,3,849,54.84,7.09,231.0
2026-04-09 07:03:25.536,10.45.0.26,21.4,3,850,54.8,7.09,231.0
2026-04-09 07:03:25.662,10.45.0.26,32.8,3,851,54.77,7.09,231.0
2026-04-09 07:03:25.797,10.45.0.26,60.9,3,852,54.78,7.09,231.0
